Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
02 Albacete;0-15 años;Españoles;Mujeres;2019;26.515
02 Albacete;0-15 años;Extranjeros;Hombres;2021;2.452
02 Albacete;0-15 años;Extranjeros;Hombres;2020;2.445
02 Albacete;0-15 años;Extranjeros;Hombres;2019;2.278
02 Albacete;0-15 años;Extranjeros;Mujeres;2021;2.248
02 Albacete;0-15 años;Extranjeros;Mujeres;2020;2.191
02 Albacete;0-15 años;Extranjeros;Mujeres;2019;2.157
02 Albacete;16-64 años;Españoles;Hombres;2021;118.339
02 Albacete;16-64 años;Españoles;Hombres;2020;118.606
02 Albacete;16-64 años;Españoles;Hombres;2019;119.164
02 Albacete;16-64 años;Españoles;Mujeres;2021;114.163
02 Albacete;16-64 años;Españoles;Mujeres;2020;114.793
02 Albacete;16-64 años;Españoles;Mujeres;2019;115.270
02 Albacete;16-64 años;Extranjeros;Hombres;2021;11.655
02 Albacete;16-64 años;Extranjeros;Hombres;2020;11.488
02 Albacete;16-64 años;Extranjeros;Hombres;2019;10.695
02 Albacete;16-64 años;Extranjeros;Mujeres;2021;9.637
02 Albacete;16-64 años;Extranjeros;Mujeres;2020;9.436
02 Albacete;16-64 años;Extranjeros;Mujeres;2019;8.781
02 Albacete;65 y más;Españoles;Hombres;2021;33.108
02 Albacete;65 y más;Españoles;Hombres;2020;33.242
02 Albacete;65 y más;Españoles;Hombres;2019;32.971
02 Albacete;65 y más;Españoles;Mujeres;2021;41.204
02 Albacete;65 y más;Españoles;Mujeres;2020;41.373
02 Albacete;65 y más;Españoles;Mujeres;2019;41.148
02 Albacete;65 y más;Extranjeros;Hombres;2021;347
02 Albacete;65 y más;Extranjeros;Hombres;2020;321
02 Albacete;65 y más;Extranjeros;Hombres;2019;290
02 Albacete;65 y más;Extranjeros;Mujeres;2021;460
02 Albacete;65 y más;Extranjeros;Mujeres;2020;443
02 Albacete;65 y más;Extranjeros;Mujeres;2019;385
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2021;121.579
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2020;123.879
03 Alicante/Alacant;0-15 años;Españoles;Hombres;2019;125.807
03 Alicante/Alacant;0-15 años;Españoles;Mujeres;2021;114.198
