Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
09 Burgos;16-64 años;Extranjeros;Mujeres;2019;10.725
09 Burgos;65 y más;Españoles;Hombres;2021;38.651
09 Burgos;65 y más;Españoles;Hombres;2020;38.514
09 Burgos;65 y más;Españoles;Hombres;2019;37.935
09 Burgos;65 y más;Españoles;Mujeres;2021;46.428
09 Burgos;65 y más;Españoles;Mujeres;2020;46.365
09 Burgos;65 y más;Españoles;Mujeres;2019;46.006
09 Burgos;65 y más;Extranjeros;Hombres;2021;448
09 Burgos;65 y más;Extranjeros;Hombres;2020;410
09 Burgos;65 y más;Extranjeros;Hombres;2019;358
09 Burgos;65 y más;Extranjeros;Mujeres;2021;536
09 Burgos;65 y más;Extranjeros;Mujeres;2020;500
09 Burgos;65 y más;Extranjeros;Mujeres;2019;413
10 Cáceres;0-15 años;Españoles;Hombres;2021;24.590
10 Cáceres;0-15 años;Españoles;Hombres;2020;25.044
10 Cáceres;0-15 años;Españoles;Hombres;2019;25.562
10 Cáceres;0-15 años;Españoles;Mujeres;2021;23.307
10 Cáceres;0-15 años;Españoles;Mujeres;2020;23.815
10 Cáceres;0-15 años;Españoles;Mujeres;2019;24.269
10 Cáceres;0-15 años;Extranjeros;Hombres;2021;1.086
10 Cáceres;0-15 años;Extranjeros;Hombres;2020;1.103
10 Cáceres;0-15 años;Extranjeros;Hombres;2019;1.073
10 Cáceres;0-15 años;Extranjeros;Mujeres;2021;1.049
10 Cáceres;0-15 años;Extranjeros;Mujeres;2020;1.043
10 Cáceres;0-15 años;Extranjeros;Mujeres;2019;1.024
10 Cáceres;16-64 años;Españoles;Hombres;2021;121.601
10 Cáceres;16-64 años;Españoles;Hombres;2020;122.407
10 Cáceres;16-64 años;Españoles;Hombres;2019;123.865
10 Cáceres;16-64 años;Españoles;Mujeres;2021;116.016
10 Cáceres;16-64 años;Españoles;Mujeres;2020;116.563
10 Cáceres;16-64 años;Españoles;Mujeres;2019;117.620
10 Cáceres;16-64 años;Extranjeros;Hombres;2021;5.202
10 Cáceres;16-64 años;Extranjeros;Hombres;2020;5.280
10 Cáceres;16-64 años;Extranjeros;Hombres;2019;5.182
10 Cáceres;16-64 años;Extranjeros;Mujeres;2021;5.343
10 Cáceres;16-64 años;Extranjeros;Mujeres;2020;5.341
10 Cáceres;16-64 años;Extranjeros;Mujeres;2019;5.104
10 Cáceres;65 y más;Españoles;Hombres;2021;39.996
10 Cáceres;65 y más;Españoles;Hombres;2020;39.810
10 Cáceres;65 y más;Españoles;Hombres;2019;39.306
10 Cáceres;65 y más;Españoles;Mujeres;2021;50.445
10 Cáceres;65 y más;Españoles;Mujeres;2020;50.574
10 Cáceres;65 y más;Españoles;Mujeres;2019;50.365
10 Cáceres;65 y más;Extranjeros;Hombres;2021;476
10 Cáceres;65 y más;Extranjeros;Hombres;2020;440
10 Cáceres;65 y más;Extranjeros;Hombres;2019;400
10 Cáceres;65 y más;Extranjeros;Mujeres;2021;447
10 Cáceres;65 y más;Extranjeros;Mujeres;2020;430
10 Cáceres;65 y más;Extranjeros;Mujeres;2019;381
11 Cádiz;0-15 años;Españoles;Hombres;2021;101.111
11 Cádiz;0-15 años;Españoles;Hombres;2020;103.829
11 Cádiz;0-15 años;Españoles;Hombres;2019;105.764
11 Cádiz;0-15 años;Españoles;Mujeres;2021;95.484
11 Cádiz;0-15 años;Españoles;Mujeres;2020;97.682
11 Cádiz;0-15 años;Españoles;Mujeres;2019;99.605
11 Cádiz;0-15 años;Extranjeros;Hombres;2021;3.512
11 Cádiz;0-15 años;Extranjeros;Hombres;2020;3.636
11 Cádiz;0-15 años;Extranjeros;Hombres;2019;3.400
11 Cádiz;0-15 años;Extranjeros;Mujeres;2021;3.522
11 Cádiz;0-15 años;Extranjeros;Mujeres;2020;3.580
11 Cádiz;0-15 años;Extranjeros;Mujeres;2019;3.282
11 Cádiz;16-64 años;Españoles;Hombres;2021;395.620
11 Cádiz;16-64 años;Españoles;Hombres;2020;395.194
11 Cádiz;16-64 años;Españoles;Hombres;2019;395.813
11 Cádiz;16-64 años;Españoles;Mujeres;2021;393.119
11 Cádiz;16-64 años;Españoles;Mujeres;2020;392.676
11 Cádiz;16-64 años;Españoles;Mujeres;2019;393.181
11 Cádiz;16-64 años;Extranjeros;Hombres;2021;19.330
11 Cádiz;16-64 años;Extranjeros;Hombres;2020;18.810
11 Cádiz;16-64 años;Extranjeros;Hombres;2019;17.121
11 Cádiz;16-64 años;Extranjeros;Mujeres;2021;19.772
11 Cádiz;16-64 años;Extranjeros;Mujeres;2020;19.250
11 Cádiz;16-64 años;Extranjeros;Mujeres;2019;17.692
11 Cádiz;65 y más;Españoles;Hombres;2021;92.185
11 Cádiz;65 y más;Españoles;Hombres;2020;89.931
11 Cádiz;65 y más;Españoles;Hombres;2019;87.717
11 Cádiz;65 y más;Españoles;Mujeres;2021;117.832
11 Cádiz;65 y más;Españoles;Mujeres;2020;115.267
11 Cádiz;65 y más;Españoles;Mujeres;2019;112.750
11 Cádiz;65 y más;Extranjeros;Hombres;2021;2.326
11 Cádiz;65 y más;Extranjeros;Hombres;2020;2.161
11 Cádiz;65 y más;Extranjeros;Hombres;2019;1.976
11 Cádiz;65 y más;Extranjeros;Mujeres;2021;2.147
11 Cádiz;65 y más;Extranjeros;Mujeres;2020;2.033
11 Cádiz;65 y más;Extranjeros;Mujeres;2019;1.854
39 Cantabria;0-15 años;Españoles;Hombres;2021;38.393
39 Cantabria;0-15 años;Españoles;Hombres;2020;39.084
39 Cantabria;0-15 años;Españoles;Hombres;2019;39.805
39 Cantabria;0-15 años;Españoles;Mujeres;2021;36.456
39 Cantabria;0-15 años;Españoles;Mujeres;2020;37.283
39 Cantabria;0-15 años;Españoles;Mujeres;2019;38.023
39 Cantabria;0-15 años;Extranjeros;Hombres;2021;2.579
39 Cantabria;0-15 años;Extranjeros;Hombres;2020;2.615
39 Cantabria;0-15 años;Extranjeros;Hombres;2019;2.418
39 Cantabria;0-15 años;Extranjeros;Mujeres;2021;2.538
39 Cantabria;0-15 años;Extranjeros;Mujeres;2020;2.539
39 Cantabria;0-15 años;Extranjeros;Mujeres;2019;2.304
39 Cantabria;16-64 años;Españoles;Hombres;2021;171.958
39 Cantabria;16-64 años;Españoles;Hombres;2020;171.882
39 Cantabria;16-64 años;Españoles;Hombres;2019;172.824
39 Cantabria;16-64 años;Españoles;Mujeres;2021;171.348
39 Cantabria;16-64 años;Españoles;Mujeres;2020;171.035
39 Cantabria;16-64 años;Españoles;Mujeres;2019;172.213
39 Cantabria;16-64 años;Extranjeros;Hombres;2021;13.909
39 Cantabria;16-64 años;Extranjeros;Hombres;2020;13.819
39 Cantabria;16-64 años;Extranjeros;Hombres;2019;12.722
39 Cantabria;16-64 años;Extranjeros;Mujeres;2021;15.310
39 Cantabria;16-64 años;Extranjeros;Mujeres;2020;15.223
39 Cantabria;16-64 años;Extranjeros;Mujeres;2019;13.869
39 Cantabria;65 y más;Españoles;Hombres;2021;55.806
39 Cantabria;65 y más;Españoles;Hombres;2020;54.491
39 Cantabria;65 y más;Españoles;Hombres;2019;53.461
39 Cantabria;65 y más;Españoles;Mujeres;2021;74.379
39 Cantabria;65 y más;Españoles;Mujeres;2020;73.234
39 Cantabria;65 y más;Españoles;Mujeres;2019;71.969
39 Cantabria;65 y más;Extranjeros;Hombres;2021;733
39 Cantabria;65 y más;Extranjeros;Hombres;2020;668
39 Cantabria;65 y más;Extranjeros;Hombres;2019;571
39 Cantabria;65 y más;Extranjeros;Mujeres;2021;1.098
39 Cantabria;65 y más;Extranjeros;Mujeres;2020;1.032
39 Cantabria;65 y más;Extranjeros;Mujeres;2019;899
12 Castellón/Castelló;0-15 años;Españoles;Hombres;2021;38.979
12 Castellón/Castelló;0-15 años;Españoles;Hombres;2020;39.596
12 Castellón/Castelló;0-15 años;Españoles;Hombres;2019;40.054
12 Castellón/Castelló;0-15 años;Españoles;Mujeres;2021;36.743
12 Castellón/Castelló;0-15 años;Españoles;Mujeres;2020;37.281
12 Castellón/Castelló;0-15 años;Españoles;Mujeres;2019;37.751
12 Castellón/Castelló;0-15 años;Extranjeros;Hombres;2021;8.049
12 Castellón/Castelló;0-15 años;Extranjeros;Hombres;2020;8.213
12 Castellón/Castelló;0-15 años;Extranjeros;Hombres;2019;7.958
12 Castellón/Castelló;0-15 años;Extranjeros;Mujeres;2021;7.261
12 Castellón/Castelló;0-15 años;Extranjeros;Mujeres;2020;7.416
12 Castellón/Castelló;0-15 años;Extranjeros;Mujeres;2019;7.190
12 Castellón/Castelló;16-64 años;Españoles;Hombres;2021;159.523
12 Castellón/Castelló;16-64 años;Españoles;Hombres;2020;158.997
12 Castellón/Castelló;16-64 años;Españoles;Hombres;2019;158.876
12 Castellón/Castelló;16-64 años;Españoles;Mujeres;2021;153.080
12 Castellón/Castelló;16-64 años;Españoles;Mujeres;2020;152.661
12 Castellón/Castelló;16-64 años;Españoles;Mujeres;2019;152.625
12 Castellón/Castelló;16-64 años;Extranjeros;Hombres;2021;33.553
12 Castellón/Castelló;16-64 años;Extranjeros;Hombres;2020;33.587
12 Castellón/Castelló;16-64 años;Extranjeros;Hombres;2019;31.749
12 Castellón/Castelló;16-64 años;Extranjeros;Mujeres;2021;34.620
12 Castellón/Castelló;16-64 años;Extranjeros;Mujeres;2020;34.527
12 Castellón/Castelló;16-64 años;Extranjeros;Mujeres;2019;32.546
12 Castellón/Castelló;65 y más;Españoles;Hombres;2021;48.716
12 Castellón/Castelló;65 y más;Españoles;Hombres;2020;48.030
12 Castellón/Castelló;65 y más;Españoles;Hombres;2019;47.314
12 Castellón/Castelló;65 y más;Españoles;Mujeres;2021;60.878
12 Castellón/Castelló;65 y más;Españoles;Mujeres;2020;60.033
12 Castellón/Castelló;65 y más;Españoles;Mujeres;2019;59.231
12 Castellón/Castelló;65 y más;Extranjeros;Hombres;2021;2.595
12 Castellón/Castelló;65 y más;Extranjeros;Hombres;2020;2.376
12 Castellón/Castelló;65 y más;Extranjeros;Hombres;2019;2.126
12 Castellón/Castelló;65 y más;Extranjeros;Mujeres;2021;3.067
12 Castellón/Castelló;65 y más;Extranjeros;Mujeres;2020;2.873
12 Castellón/Castelló;65 y más;Extranjeros;Mujeres;2019;2.542
13 Ciudad Real;0-15 años;Españoles;Hombres;2021;34.558
13 Ciudad Real;0-15 años;Españoles;Hombres;2020;35.290
13 Ciudad Real;0-15 años;Españoles;Hombres;2019;35.791
13 Ciudad Real;0-15 años;Españoles;Mujeres;2021;32.927
13 Ciudad Real;0-15 años;Españoles;Mujeres;2020;33.501
13 Ciudad Real;0-15 años;Españoles;Mujeres;2019;34.087
13 Ciudad Real;0-15 años;Extranjeros;Hombres;2021;2.796
13 Ciudad Real;0-15 años;Extranjeros;Hombres;2020;2.868
13 Ciudad Real;0-15 años;Extranjeros;Hombres;2019;2.772
13 Ciudad Real;0-15 años;Extranjeros;Mujeres;2021;2.641
13 Ciudad Real;0-15 años;Extranjeros;Mujeres;2020;2.668
13 Ciudad Real;0-15 años;Extranjeros;Mujeres;2019;2.608
13 Ciudad Real;16-64 años;Españoles;Hombres;2021;150.339
13 Ciudad Real;16-64 años;Españoles;Hombres;2020;150.541
13 Ciudad Real;16-64 años;Españoles;Hombres;2019;151.651
13 Ciudad Real;16-64 años;Españoles;Mujeres;2021;144.496
13 Ciudad Real;16-64 años;Españoles;Mujeres;2020;144.851
13 Ciudad Real;16-64 años;Españoles;Mujeres;2019;146.008
13 Ciudad Real;16-64 años;Extranjeros;Hombres;2021;12.755
13 Ciudad Real;16-64 años;Extranjeros;Hombres;2020;12.612
13 Ciudad Real;16-64 años;Extranjeros;Hombres;2019;11.486
13 Ciudad Real;16-64 años;Extranjeros;Mujeres;2021;12.061
13 Ciudad Real;16-64 años;Extranjeros;Mujeres;2020;12.018
13 Ciudad Real;16-64 años;Extranjeros;Mujeres;2019;11.253
13 Ciudad Real;65 y más;Españoles;Hombres;2021;42.929
13 Ciudad Real;65 y más;Españoles;Hombres;2020;43.184
13 Ciudad Real;65 y más;Españoles;Hombres;2019;42.885
13 Ciudad Real;65 y más;Españoles;Mujeres;2021;56.147
13 Ciudad Real;65 y más;Españoles;Mujeres;2020;56.655
13 Ciudad Real;65 y más;Españoles;Mujeres;2019;56.492
13 Ciudad Real;65 y más;Extranjeros;Hombres;2021;386
13 Ciudad Real;65 y más;Extranjeros;Hombres;2020;347
13 Ciudad Real;65 y más;Extranjeros;Hombres;2019;292
13 Ciudad Real;65 y más;Extranjeros;Mujeres;2021;556
13 Ciudad Real;65 y más;Extranjeros;Mujeres;2020;510
13 Ciudad Real;65 y más;Extranjeros;Mujeres;2019;436
14 Córdoba;0-15 años;Españoles;Hombres;2021;59.029
14 Córdoba;0-15 años;Españoles;Hombres;2020;60.452
14 Córdoba;0-15 años;Españoles;Hombres;2019;61.585
14 Córdoba;0-15 años;Españoles;Mujeres;2021;55.624
14 Córdoba;0-15 años;Españoles;Mujeres;2020;56.893
14 Córdoba;0-15 años;Españoles;Mujeres;2019;57.948
14 Córdoba;0-15 años;Extranjeros;Hombres;2021;1.721
14 Córdoba;0-15 años;Extranjeros;Hombres;2020;1.826
14 Córdoba;0-15 años;Extranjeros;Hombres;2019;1.668
14 Córdoba;0-15 años;Extranjeros;Mujeres;2021;1.567
14 Córdoba;0-15 años;Extranjeros;Mujeres;2020;1.697
14 Córdoba;0-15 años;Extranjeros;Mujeres;2019;1.593
14 Córdoba;16-64 años;Españoles;Hombres;2021;245.710
14 Córdoba;16-64 años;Españoles;Hombres;2020;247.127
14 Córdoba;16-64 años;Españoles;Hombres;2019;248.376
14 Córdoba;16-64 años;Españoles;Mujeres;2021;241.627
14 Córdoba;16-64 años;Españoles;Mujeres;2020;242.985
14 Córdoba;16-64 años;Españoles;Mujeres;2019;244.282
14 Córdoba;16-64 años;Extranjeros;Hombres;2021;8.029
14 Córdoba;16-64 años;Extranjeros;Hombres;2020;8.340
14 Córdoba;16-64 años;Extranjeros;Hombres;2019;8.107
14 Córdoba;16-64 años;Extranjeros;Mujeres;2021;9.492
14 Córdoba;16-64 años;Extranjeros;Mujeres;2020;9.665
14 Córdoba;16-64 años;Extranjeros;Mujeres;2019;8.876
14 Córdoba;65 y más;Españoles;Hombres;2021;65.501
14 Córdoba;65 y más;Españoles;Hombres;2020;64.690
14 Córdoba;65 y más;Españoles;Hombres;2019;63.664
14 Córdoba;65 y más;Españoles;Mujeres;2021;87.453
14 Córdoba;65 y más;Españoles;Mujeres;2020;86.792
14 Córdoba;65 y más;Españoles;Mujeres;2019;86.021
14 Córdoba;65 y más;Extranjeros;Hombres;2021;483
14 Córdoba;65 y más;Extranjeros;Hombres;2020;451
14 Córdoba;65 y más;Extranjeros;Hombres;2019;390
14 Córdoba;65 y más;Extranjeros;Mujeres;2021;553
14 Córdoba;65 y más;Extranjeros;Mujeres;2020;533
14 Córdoba;65 y más;Extranjeros;Mujeres;2019;469
15 Coruña, A;0-15 años;Españoles;Hombres;2021;69.937
15 Coruña, A;0-15 años;Españoles;Hombres;2020;71.188
15 Coruña, A;0-15 años;Españoles;Hombres;2019;72.128
15 Coruña, A;0-15 años;Españoles;Mujeres;2021;65.916
15 Coruña, A;0-15 años;Españoles;Mujeres;2020;66.983
15 Coruña, A;0-15 años;Españoles;Mujeres;2019;67.916
15 Coruña, A;0-15 años;Extranjeros;Hombres;2021;2.926
15 Coruña, A;0-15 años;Extranjeros;Hombres;2020;2.874
15 Coruña, A;0-15 años;Extranjeros;Hombres;2019;2.502
15 Coruña, A;0-15 años;Extranjeros;Mujeres;2021;2.738
15 Coruña, A;0-15 años;Extranjeros;Mujeres;2020;2.683
15 Coruña, A;0-15 años;Extranjeros;Mujeres;2019;2.349
15 Coruña, A;16-64 años;Españoles;Hombres;2021;327.408
15 Coruña, A;16-64 años;Españoles;Hombres;2020;328.955
15 Coruña, A;16-64 años;Españoles;Hombres;2019;330.911
15 Coruña, A;16-64 años;Españoles;Mujeres;2021;333.264
15 Coruña, A;16-64 años;Españoles;Mujeres;2020;335.013
15 Coruña, A;16-64 años;Españoles;Mujeres;2019;337.395
15 Coruña, A;16-64 años;Extranjeros;Hombres;2021;16.739
15 Coruña, A;16-64 años;Extranjeros;Hombres;2020;16.426
15 Coruña, A;16-64 años;Extranjeros;Hombres;2019;14.500
15 Coruña, A;16-64 años;Extranjeros;Mujeres;2021;18.857
15 Coruña, A;16-64 años;Extranjeros;Mujeres;2020;18.461
15 Coruña, A;16-64 años;Extranjeros;Mujeres;2019;16.531
15 Coruña, A;65 y más;Españoles;Hombres;2021;118.885
15 Coruña, A;65 y más;Españoles;Hombres;2020;117.260
15 Coruña, A;65 y más;Españoles;Hombres;2019;115.501
15 Coruña, A;65 y más;Españoles;Mujeres;2021;160.778
15 Coruña, A;65 y más;Españoles;Mujeres;2020;159.364
15 Coruña, A;65 y más;Españoles;Mujeres;2019;157.638
15 Coruña, A;65 y más;Extranjeros;Hombres;2021;1.109
15 Coruña, A;65 y más;Extranjeros;Hombres;2020;1.078
15 Coruña, A;65 y más;Extranjeros;Hombres;2019;928
15 Coruña, A;65 y más;Extranjeros;Mujeres;2021;1.577
15 Coruña, A;65 y más;Extranjeros;Mujeres;2020;1.530
15 Coruña, A;65 y más;Extranjeros;Mujeres;2019;1.297
16 Cuenca;0-15 años;Españoles;Hombres;2021;10.857
16 Cuenca;0-15 años;Españoles;Hombres;2020;10.996
16 Cuenca;0-15 años;Españoles;Hombres;2019;11.236
16 Cuenca;0-15 años;Españoles;Mujeres;2021;10.481
16 Cuenca;0-15 años;Españoles;Mujeres;2020;10.658
16 Cuenca;0-15 años;Españoles;Mujeres;2019;10.956
16 Cuenca;0-15 años;Extranjeros;Hombres;2021;2.156
16 Cuenca;0-15 años;Extranjeros;Hombres;2020;2.140
16 Cuenca;0-15 años;Extranjeros;Hombres;2019;2.058
16 Cuenca;0-15 años;Extranjeros;Mujeres;2021;2.119
16 Cuenca;0-15 años;Extranjeros;Mujeres;2020;2.071
16 Cuenca;0-15 años;Extranjeros;Mujeres;2019;1.981
16 Cuenca;16-64 años;Españoles;Hombres;2021;55.942
16 Cuenca;16-64 años;Españoles;Hombres;2020;55.917
16 Cuenca;16-64 años;Españoles;Hombres;2019;56.430
16 Cuenca;16-64 años;Españoles;Mujeres;2021;51.596
16 Cuenca;16-64 años;Españoles;Mujeres;2020;51.410
16 Cuenca;16-64 años;Españoles;Mujeres;2019;51.754
16 Cuenca;16-64 años;Extranjeros;Hombres;2021;8.935
16 Cuenca;16-64 años;Extranjeros;Hombres;2020;8.867
16 Cuenca;16-64 años;Extranjeros;Hombres;2019;8.203
16 Cuenca;16-64 años;Extranjeros;Mujeres;2021;8.532
16 Cuenca;16-64 años;Extranjeros;Mujeres;2020;8.511
16 Cuenca;16-64 años;Extranjeros;Mujeres;2019;7.872
16 Cuenca;65 y más;Españoles;Hombres;2021;19.987
16 Cuenca;65 y más;Españoles;Hombres;2020;20.286
16 Cuenca;65 y más;Españoles;Hombres;2019;20.433
16 Cuenca;65 y más;Españoles;Mujeres;2021;24.326
16 Cuenca;65 y más;Españoles;Mujeres;2020;24.741
16 Cuenca;65 y más;Españoles;Mujeres;2019;24.949
16 Cuenca;65 y más;Extranjeros;Hombres;2021;241
16 Cuenca;65 y más;Extranjeros;Hombres;2020;224
16 Cuenca;65 y más;Extranjeros;Hombres;2019;182
16 Cuenca;65 y más;Extranjeros;Mujeres;2021;344
16 Cuenca;65 y más;Extranjeros;Mujeres;2020;318
16 Cuenca;65 y más;Extranjeros;Mujeres;2019;275
20 Gipuzkoa;0-15 años;Españoles;Hombres;2021;50.212
20 Gipuzkoa;0-15 años;Españoles;Hombres;2020;51.302
20 Gipuzkoa;0-15 años;Españoles;Hombres;2019;52.413
20 Gipuzkoa;0-15 años;Españoles;Mujeres;2021;47.546
20 Gipuzkoa;0-15 años;Españoles;Mujeres;2020;48.607
20 Gipuzkoa;0-15 años;Españoles;Mujeres;2019;49.541
20 Gipuzkoa;0-15 años;Extranjeros;Hombres;2021;5.062
20 Gipuzkoa;0-15 años;Extranjeros;Hombres;2020;5.127
20 Gipuzkoa;0-15 años;Extranjeros;Hombres;2019;4.822
20 Gipuzkoa;0-15 años;Extranjeros;Mujeres;2021;4.690
20 Gipuzkoa;0-15 años;Extranjeros;Mujeres;2020;4.726
20 Gipuzkoa;0-15 años;Extranjeros;Mujeres;2019;4.390
20 Gipuzkoa;16-64 años;Españoles;Hombres;2021;203.882
20 Gipuzkoa;16-64 años;Españoles;Hombres;2020;204.684
20 Gipuzkoa;16-64 años;Españoles;Hombres;2019;205.401
20 Gipuzkoa;16-64 años;Españoles;Mujeres;2021;200.437
20 Gipuzkoa;16-64 años;Españoles;Mujeres;2020;200.937
20 Gipuzkoa;16-64 años;Españoles;Mujeres;2019;201.907
20 Gipuzkoa;16-64 años;Extranjeros;Hombres;2021;24.570
20 Gipuzkoa;16-64 años;Extranjeros;Hombres;2020;24.000
20 Gipuzkoa;16-64 años;Extranjeros;Hombres;2019;21.967
20 Gipuzkoa;16-64 años;Extranjeros;Mujeres;2021;24.617
20 Gipuzkoa;16-64 años;Extranjeros;Mujeres;2020;24.520
20 Gipuzkoa;16-64 años;Extranjeros;Mujeres;2019;22.471
20 Gipuzkoa;65 y más;Españoles;Hombres;2021;70.110
20 Gipuzkoa;65 y más;Españoles;Hombres;2020;69.219
20 Gipuzkoa;65 y más;Españoles;Hombres;2019;68.054
20 Gipuzkoa;65 y más;Españoles;Mujeres;2021;92.868
20 Gipuzkoa;65 y más;Españoles;Mujeres;2020;92.087
20 Gipuzkoa;65 y más;Españoles;Mujeres;2019;90.965
20 Gipuzkoa;65 y más;Extranjeros;Hombres;2021;881
20 Gipuzkoa;65 y más;Extranjeros;Hombres;2020;798
20 Gipuzkoa;65 y más;Extranjeros;Hombres;2019;706
20 Gipuzkoa;65 y más;Extranjeros;Mujeres;2021;1.158
20 Gipuzkoa;65 y más;Extranjeros;Mujeres;2020;1.114
20 Gipuzkoa;65 y más;Extranjeros;Mujeres;2019;939
17 Girona;0-15 años;Españoles;Hombres;2021;53.471
17 Girona;0-15 años;Españoles;Hombres;2020;53.828
17 Girona;0-15 años;Españoles;Hombres;2019;54.248
17 Girona;0-15 años;Españoles;Mujeres;2021;50.482
17 Girona;0-15 años;Españoles;Mujeres;2020;50.953
17 Girona;0-15 años;Españoles;Mujeres;2019;51.376
17 Girona;0-15 años;Extranjeros;Hombres;2021;13.802
17 Girona;0-15 años;Extranjeros;Hombres;2020;14.334
17 Girona;0-15 años;Extranjeros;Hombres;2019;13.971
17 Girona;0-15 años;Extranjeros;Mujeres;2021;13.105
17 Girona;0-15 años;Extranjeros;Mujeres;2020;13.514
17 Girona;0-15 años;Extranjeros;Mujeres;2019;13.168
17 Girona;16-64 años;Españoles;Hombres;2021;197.933
17 Girona;16-64 años;Españoles;Hombres;2020;196.297
17 Girona;16-64 años;Españoles;Hombres;2019;195.944
17 Girona;16-64 años;Españoles;Mujeres;2021;192.809
17 Girona;16-64 años;Españoles;Mujeres;2020;190.821
17 Girona;16-64 años;Españoles;Mujeres;2019;190.175
17 Girona;16-64 años;Extranjeros;Hombres;2021;64.181
17 Girona;16-64 años;Extranjeros;Hombres;2020;63.955
17 Girona;16-64 años;Extranjeros;Hombres;2019;59.832
17 Girona;16-64 años;Extranjeros;Mujeres;2021;57.456
17 Girona;16-64 años;Extranjeros;Mujeres;2020;57.646
17 Girona;16-64 años;Extranjeros;Mujeres;2019;54.906
17 Girona;65 y más;Españoles;Hombres;2021;58.981
17 Girona;65 y más;Españoles;Hombres;2020;57.653
17 Girona;65 y más;Españoles;Hombres;2019;56.410
17 Girona;65 y más;Españoles;Mujeres;2021;72.890
17 Girona;65 y más;Españoles;Mujeres;2020;71.801
17 Girona;65 y más;Españoles;Mujeres;2019;70.583
17 Girona;65 y más;Extranjeros;Hombres;2021;5.401
17 Girona;65 y más;Extranjeros;Hombres;2020;5.116
17 Girona;65 y más;Extranjeros;Hombres;2019;4.893
17 Girona;65 y más;Extranjeros;Mujeres;2021;6.085
17 Girona;65 y más;Extranjeros;Mujeres;2020;5.870
17 Girona;65 y más;Extranjeros;Mujeres;2019;5.538
18 Granada;0-15 años;Españoles;Hombres;2021;68.986
18 Granada;0-15 años;Españoles;Hombres;2020;70.402
18 Granada;0-15 años;Españoles;Hombres;2019;71.218
18 Granada;0-15 años;Españoles;Mujeres;2021;65.314
18 Granada;0-15 años;Españoles;Mujeres;2020;66.405
18 Granada;0-15 años;Españoles;Mujeres;2019;67.243
18 Granada;0-15 años;Extranjeros;Hombres;2021;4.705
18 Granada;0-15 años;Extranjeros;Hombres;2020;4.640
18 Granada;0-15 años;Extranjeros;Hombres;2019;4.280
18 Granada;0-15 años;Extranjeros;Mujeres;2021;4.524
18 Granada;0-15 años;Extranjeros;Mujeres;2020;4.383
18 Granada;0-15 años;Extranjeros;Mujeres;2019;4.016
18 Granada;16-64 años;Españoles;Hombres;2021;279.104
18 Granada;16-64 años;Españoles;Hombres;2020;278.728
18 Granada;16-64 años;Españoles;Hombres;2019;279.046
18 Granada;16-64 años;Españoles;Mujeres;2021;277.717
18 Granada;16-64 años;Españoles;Mujeres;2020;277.335
18 Granada;16-64 años;Españoles;Mujeres;2019;277.519
18 Granada;16-64 años;Extranjeros;Hombres;2021;27.404
18 Granada;16-64 años;Extranjeros;Hombres;2020;26.360
18 Granada;16-64 años;Extranjeros;Hombres;2019;24.732
18 Granada;16-64 años;Extranjeros;Mujeres;2021;25.281
18 Granada;16-64 años;Extranjeros;Mujeres;2020;24.384
18 Granada;16-64 años;Extranjeros;Mujeres;2019;22.594
18 Granada;65 y más;Españoles;Hombres;2021;70.787
18 Granada;65 y más;Españoles;Hombres;2020;69.771
18 Granada;65 y más;Españoles;Hombres;2019;68.599
18 Granada;65 y más;Españoles;Mujeres;2021;92.056
18 Granada;65 y más;Españoles;Mujeres;2020;91.372
18 Granada;65 y más;Españoles;Mujeres;2019;90.084
18 Granada;65 y más;Extranjeros;Hombres;2021;2.697
18 Granada;65 y más;Extranjeros;Hombres;2020;2.694
18 Granada;65 y más;Extranjeros;Hombres;2019;2.680
18 Granada;65 y más;Extranjeros;Mujeres;2021;2.763
18 Granada;65 y más;Extranjeros;Mujeres;2020;2.694
18 Granada;65 y más;Extranjeros;Mujeres;2019;2.667
19 Guadalajara;0-15 años;Españoles;Hombres;2021;19.872
19 Guadalajara;0-15 años;Españoles;Hombres;2020;19.939
19 Guadalajara;0-15 años;Españoles;Hombres;2019;20.148
19 Guadalajara;0-15 años;Españoles;Mujeres;2021;18.879
19 Guadalajara;0-15 años;Españoles;Mujeres;2020;19.001
19 Guadalajara;0-15 años;Españoles;Mujeres;2019;19.231
19 Guadalajara;0-15 años;Extranjeros;Hombres;2021;3.443
19 Guadalajara;0-15 años;Extranjeros;Hombres;2020;3.398
19 Guadalajara;0-15 años;Extranjeros;Hombres;2019;3.151
19 Guadalajara;0-15 años;Extranjeros;Mujeres;2021;3.148
19 Guadalajara;0-15 años;Extranjeros;Mujeres;2020;3.092
19 Guadalajara;0-15 años;Extranjeros;Mujeres;2019;2.909
19 Guadalajara;16-64 años;Españoles;Hombres;2021;77.272
19 Guadalajara;16-64 años;Españoles;Hombres;2020;75.941
19 Guadalajara;16-64 años;Españoles;Hombres;2019;75.205
19 Guadalajara;16-64 años;Españoles;Mujeres;2021;71.877
19 Guadalajara;16-64 años;Españoles;Mujeres;2020;70.600
19 Guadalajara;16-64 años;Españoles;Mujeres;2019;70.015
19 Guadalajara;16-64 años;Extranjeros;Hombres;2021;14.326
19 Guadalajara;16-64 años;Extranjeros;Hombres;2020;14.086
